user_id,R,F,M,Cluster,Segment,Strategy
AA-10315,649,5,4433.032,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AA-10375,30,9,407.118,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AA-10480,1347,1,27.46,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AA-10645,215,12,2008.705,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AB-10015,427,5,873.5319999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AB-10060,160,12,7354.214,2,高价值核心用户,"提供VIP服务, 新品优先体验, 定制化关怀"
AB-10105,220,9,1299.154,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AB-10150,247,7,812.462,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AB-10165,214,3,86.48,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AB-10255,309,5,121.582,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AB-10600,62,5,1475.054,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AC-10420,7,4,868.2239999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AC-10450,277,3,1864.192,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AC-10615,306,12,2255.868,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AD-10180,334,3,932.0699999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AF-10870,555,3,37.163999999999994,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AF-10885,427,5,489.905,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AG-10300,278,2,87.89999999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AG-10330,61,4,357.62,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AG-10390,156,3,38.864000000000004,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AG-10495,761,3,734.398,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AG-10525,886,9,1455.038,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AG-10675,97,8,2943.4796000000006,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AG-10765,822,2,123.83999999999999,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AG-10900,278,8,2246.513,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AH-10120,130,4,609.5020000000001,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AH-10195,215,3,148.97,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AH-10210,131,7,2634.388,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AH-10465,311,5,1843.8816,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AH-10585,91,2,255.22400000000002,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AH-10690,552,15,2124.31,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AI-10855,30,12,1745.598,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AJ-10780,1168,2,54.83,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AJ-10795,368,7,1414.964,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AJ-10945,1071,5,793.926,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AM-10360,303,6,194.25,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AM-10705,252,1,383.84,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AP-10720,490,5,349.77,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AP-10915,278,13,1494.008,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AR-10345,64,3,279.966,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AR-10405,1373,2,265.784,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AR-10510,1406,1,26.136,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AR-10540,768,2,692.728,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AR-10825,304,6,1385.01,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AS-10045,247,7,2475.846,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AS-10090,303,12,1286.966,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AS-10225,122,3,261.88,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AS-10240,1128,1,7.64,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AS-10285,30,4,3029.12,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AS-10630,1008,4,410.976,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AT-10435,91,5,1111.052,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AT-10735,158,5,304.628,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AW-10840,61,5,606.232,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AW-10930,371,8,551.544,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AY-10555,1287,4,199.99,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AZ-10750,589,5,955.5959999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
